id_municipio,id_estacao,estacao,data_fundacao,latitude,longitude,altitude
5300108,A001,Brasilia,2000-05-07,-15.78944444,-47.92583332,1160.96
5300108,A042,Brazlandia,2017-07-19,-15.59972221,-48.1311111,1143
5300108,A045,Aguas Emendadas,2008-10-03,-15.596491,-47.625801,1030.36
5300108,A046,Gama (Ponte Alta),2014-10-01,-15.93527777,-48.13749999,990
5300108,A047,Paranoa (Coopa-Df),2017-02-07,-16.012222,-47.557417,1043
5208707,A002,Goiania,2001-05-29,-16.642841,-49.220222,727.3
5213806,A003,Morrinhos,2001-05-25,-17.745066,-49.101698,751.09
5218003,A005,Porangatu,2001-06-04,-13.30944444,-49.11749999,365
5220405,A011,Sao Simao,2006-07-15,-18.969142,-50.633449,492.45
5212501,A012,Luziania,2006-10-21,-16.26055555,-47.96694443,1000.82
5201702,A013,Aragarcas,2007-07-13,-15.90277777,-52.24527777,327.35
5208905,A014,Goias,2007-07-18,-15.93972221,-50.14138888,512.86
5210901,A015,Itapaci,2007-02-03,-14.97972221,-49.53999999,551.16
5211909,A016,Jatai,2007-05-23,-17.923622,-51.717467,670.08
5218300,A017,Posse,2007-04-18,-14.08916666,-46.36638888,830
5208608,A022,Goianesia,2007-06-02,-15.22027777,-48.98999999,667.01
5204409,A023,Caiaponia,2007-05-21,-16.96694443,-51.81749999,740.1
5200605,A024,Alto Paraiso De Goias,2007-06-04,-14.13305554,-47.52333332,1264.7
5218805,A025,Rio Verde,2007-05-17,-17.78527777,-50.965,780.11
5213103,A026,Mineiros,2007-11-24,-17.45472222,-52.60111111,862
5216403,A027,Parauna,2008-03-29,-16.962536,-50.42545,678.74
5210208,A028,Ipora,2013-06-24,-16.42305554,-51.14888888,610.41
5207402,A029,Edeia,2017-08-26,-17.33694444,-49.91472222,608
5220207,A031,Sao Miguel Do Araguaia,2017-06-29,-12.82055554,-50.33583333,210
5213509,A032,Monte Alegre De Goias,2007-06-07,-13.253521,-46.890326,551.33
5217401,A033,Pires Do Rio,2007-10-12,-17.30416666,-48.28416666,757.27
5205109,A034,Catalao,2008-01-31,-18.154779,-47.927614,900.72
5211503,A035,Itumbiara,2007-11-01,-18.409761,-49.192061,491.17
5206206,A036,Cristalina,2007-12-14,-16.78499999,-47.61305555,1211.08
5220603,A037,Silvania,2010-10-08,-16.67972221,-48.61805554,952
5206206,A056,Cristalina (Fazenda Santa Monica),2018-01-25,-16.39944444,-47.62583332,932
5002704,A702,Campo Grande,2001-09-10,-20.447195,-54.722615,528.47
5006606,A703,Ponta Pora,2001-09-07,-22.5525,-55.71638888,668
5008305,A704,Tres Lagoas,2001-09-03,-20.78333333,-51.71222222,328.94
5004700,A709,Ivinhema,2003-02-08,-22.30055555,-53.82277777,377.36
5006309,A710,Paranaiba,2006-11-10,-19.69555555,-51.18166666,408.06
5003207,A717,Nhumirim,2006-08-02,-18.9886111,-56.62277777,102.26
5001102,A719,Aquidauana,2006-11-01,-20.47555554,-55.78388888,151.35
5003306,A720,Coxim,2006-11-06,-18.51222222,-54.7361111,251.48
5004502,A721,Dourados,2006-10-18,-22.19388888,-54.91138888,463.3
5002159,A722,Miranda,2006-11-02,-20.39555555,-56.43166666,132.49
5006903,A723,Porto Murtinho,2006-10-24,-21.70583333,-57.88666666,78.56
5003207,A724,Corumba,2006-10-26,-18.99667,-57.6375,111.73
5002951,A730,Chapadao Do Sul,2006-12-20,-18.80222222,-52.6025,820.82
5005400,A731,Maracaju,2006-12-15,-21.60916666,-55.17749999,388.94
5007695,A732,Sao Gabriel Do Oeste,2006-12-18,-19.42027777,-54.55305555,646
5002902,A742,Cassilandia,2008-03-08,-19.12249999,-51.72083332,494.72
5007208,A743,Rio Brilhante,2008-06-26,-21.774944,-54.528108,324.31
5005152,A749,Juti,2008-06-16,-22.85722222,-54.60555555,375.18
5000609,A750,Amambai,2008-06-11,-23.0025,-55.32944443,433.59
5007703,A751,Sete Quedas,2008-06-03,-23.96694443,-55.02416666,398.4
